"bea_dataset","key","description","retrieved_at"
"NIPA","T11701","Table 1.17.1. Percent Change From Preceding Period in Real Gross Domestic Product, Real Gross Domestic Income, and Other Major NIPA Aggregates (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T11705","Table 1.17.5. Gross Domestic Product, Gross Domestic Income, and Other Major NIPA Aggregates (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T11706","Table 1.17.6. Real Gross Domestic Product, Real Gross Domestic Income, and Other Major NIPA Aggregates, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20100","Table 2.1. Personal Income and Its Disposition (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20200B","Table 2.2B. Wages and Salaries by Industry (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20301","Table 2.3.1. Percent Change From Preceding Period in Real Personal Consumption Expenditures by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20302","Table 2.3.2. Contributions to Percent Change in Real Personal Consumption Expenditures by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20303","Table 2.3.3. Real Personal Consumption Expenditures by Major Type of Product, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20304","Table 2.3.4. Price Indexes for Personal Consumption Expenditures by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20305","Table 2.3.5. Personal Consumption Expenditures by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20306","Table 2.3.6. Real Personal Consumption Expenditures by Major Type of Product, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20307","Table 2.3.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20308","Table 2.3.8. Contributions to Percent Change in Prices for Personal Consumption Expenditures by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20311","Table 2.3.11. Real Personal Consumption Expenditures by Major Type of Product: Percent Change from Quarter One Year Ago (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20401","Table 2.4.1. Percent Change From Preceding Period in Real Personal Consumption Expenditures by Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20402","Table 2.4.2. Contributions to Percent Change in Real Personal Consumption Expenditures by Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20403","Table 2.4.3. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20404","Table 2.4.4. Price Indexes for Personal Consumption Expenditures by Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20405","Table 2.4.5. Personal Consumption Expenditures by Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20406","Table 2.4.6. Real Personal Consumption Expenditures by Type of Product, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20407","Table 2.4.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20408","Table 2.4.8. Contributions to Percent Change in Prices for Personal Consumption Expenditures by Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T20503","Table 2.5.3. Real Personal Consumption Expenditures by Function, Quantity Indexes (A)","2026-06-11T11:26:44-0400"
