"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1969,799646,2962365.08026,750944.07169168,2781944.12928683,1245483.29542519,4614011.97831881,93218,345334.995800237,55774,0.0732735730227067,0.0769759469142823,26.9934993944034,579602,24.818
1970,879918,3083638.46738,831353.597172305,2913446.40322764,1374636.5005688,4817360.24472573,95643,335177.180073172,61888,0.073213154782003,0.0773942469542773,28.5350571835232,623832,25.834
1971,963210,3191185.04395,914772.584010397,3030708.34886419,1511879.74117744,5008967.94914551,99378,329246.568554794,67722,0.0727607766126734,0.0769639898263247,30.1834580801292,667732,26.735
1972,1045186,3316397.42888,998001.675497933,3166680.56273168,1646230.33042402,5223523.88489944,112722,357669.305729517,73569,0.0731502560928061,0.0763789827763416,31.5157040859538,719930,27.784
1973,1179246,3471092.6156,1130344.36547725,3327151.40021094,1856854.37391454,5465622.52959884,132952,391342.184267957,82143,0.0729064211609466,0.0785917530468261,33.9733372339349,785915,29.08
1974,1440265,3621848.80451,1381974.55679456,3475265.24381944,2262510.49956558,5689557.78835347,151149,380095.902457452,96241,0.0697239262494158,0.0816123183797104,39.76601668757,863557,30.343
1975,1596037,3720920.56761,1536371.67154445,3581819.81504381,2525590.16063136,5888034.15838521,154861,361035.163984702,113760,0.0732262359579354,0.0789854644804949,42.8936057892028,937537,31.173
1976,1753560,3828467.14418,1692945.32680806,3696129.90748976,2792839.85388111,6097479.19634361,172987,377674.58534083,125314,0.0735281243877041,0.0785157236329734,45.8031879068296,1021367,32.074
1977,1950421,3963347.97828,1888331.06130625,3837178.27799815,3120268.82943154,6340534.25225507,205344,417268.74723556,140799,0.0747323237117394,0.0802932320536509,49.2114497815667,1126985,33.204
1978,2214151,4137618.79048,2147865.89472951,4013750.77195004,3545145.68101917,6624869.48034436,249098,465493.349582295,159693,0.075295134783557,0.0818761692988334,53.5126871787804,1263357,34.664
1979,2554540,4334926.77169,2482588.18316634,4212828.13277107,4088100.68955226,6937302.65507859,295657,501715.159886927,183846,0.0754002468665631,0.0830322773830692,58.9292538153787,1430289,36.317
1980,2934852,4517194.94308,2855330.41354605,4394798.81946099,4703323.79773905,7239148.84798779,324889,500054.840197161,212651,0.0755037099740441,0.0832443414469924,64.9706739908573,1609046,37.844
1981,3322949,4703879.56656,3238095.07887224,4583762.57838613,5340164.10852483,7559396.43737146,372344,527080.41361189,245507,0.0769356388259484,0.0836522591258435,70.6427312387615,1815774,39.408
1982,3544276,4851412.93908,3463166.79449629,4740390.47664784,5745520.32375649,7864481.10712014,380674,521067.425102148,273224,0.0795066325116577,0.0822233504035121,73.0565722709253,2008764,40.644
1983,3662057,4983309.68393,3586543.7188246,4880551.5713865,5997273.73868859,8161061.4742441,383070,521279.827327392,286630,0.080398172780535,0.0808712414044504,73.48644239007,2183887,41.749
1984,3891586,5182408.11869,3819011.76424292,5085761.32517311,6405007.37751903,8529520.41494752,451779,601632.12568183,303950,0.0812249119995682,0.0829998003854118,75.0922333956151,2405253,43.417
1985,4116228,5392368.63832,4047466.27832004,5302288.94606196,6811777.32948235,8923610.26714745,486853,637790.435484139,327679,0.0828318097646762,0.0842019166478654,76.334321261879,2634781,45.176
1986,4316632,5562819.81628,4251364.29143369,5478709.68074474,7208452.33812232,9289492.71358243,481761,620842.73978205,350721,0.0838170099027414,0.0852044638926707,77.5979115370061,2835100,46.604
1987,4552033,5706891.64527,4488461.21583196,5627191.58950514,7682766.02602208,9631897.05489164,484819,607818.418840144,372009,0.0838402720432719,0.0861803832246993,79.7637888179081,3015500,47.811
1988,4847374,5852873.29138,4784557.66927645,5777026.85899117,8267621.84812117,9982589.14993936,518364,625889.153758902,399854,0.0845988405940756,0.0878407515938483,82.8204158654711,3207720,49.034
1989,5142230,6013417.29303,5083648.71451892,5944911.27226472,8857651.04484012,10358298.2419431,565175,660925.924859104,427148,0.0853451998095174,0.0881194642707577,85.5126087118589,3421488,50.379
